Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13367174,28.46153846,30.23340627,31.70077155,30.8690013,25.49955264,24.00589102,26.62300683,28.88767423,28.44400396,33.16761364,34.51707758,31.75464219,32.10846925,29.64340407,28.27868852,27.42481999,23.52061525,23.81732541,23.1184948,21.53092006,20.57667104,20.56007227,21.58060014,21.26259236,23.11395917,19.83753397,
Africa Eastern and Southern,AFE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42800526,17.60937642,16.77070398,18.9750326,19.17249426,18.16207907,17.36139806,18.57361626,18.0641464,17.94343815,17.59366958,18.00586426,18.66208582,19.96938531,19.88855838,20.84337629,21.90896591,24.1442924,23.75216924,21.84918605,22.30404295,22.91579415,23.83851143,24.99771359,25.41791098,23.61530182,24.32303509,21.65787051,22.34082372,20.82815157,19.88610565,
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.11570974,16.59919818,19.10570205,14.20118961,13.88889367,11.25827913,8.412698137,5.179282607,6.472491752,6.466876819,5.463794077,5.461171067,6.545961749,7.307692214,8.762886524,9.765258427,13.65217359,12.41534931,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,79.07861511,75.14108046,62.5522498,46.59455749,38.26135935,39.06478617,34.54355038,30.82142593,32.87002514,33.68582926,30.77319776,27.62100332,24.36360893,29.77545025,27.29008457,26.65178967,28.60218638,30.25338766,27.84087793,27.02087417,25.9337768,24.08584884,25.40372567,24.31779869,24.17348539,24.93945621,21.45796744,20.96981179,22.33485001,20.15482482,18.76264254,18.72872704,18.9468386,19.74613266,19.57487278,19.70296084,18.52238156,21.11106573,23.99532232,24.76001684,28.28371637,
Angola,AGO,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,30.49321898,30.49321894,30.49317313,30.45111141,30.8936755,27.55657979,23.30077092,25.73057936,30.80405331,42.82085316,28.19731769,26.42435317,26.66757737,26.14297048,27.5004592,34.20249083,27.21470927,24.13030586,17.86942057,17.71225524,19.56755229,20.98897095,
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,35.80583472,36.38611565,39.28290013,37.37334629,32.92553508,33.93195914,32.03483542,29.45386952,29.95754207,32.8770716,30.36094681,7.603111096,5.656684102,13.67613745,18.8965849,21.27851346,18.06379072,16.65950852,19.74260227,19.73469208,30.79625857,34.98866978,35.26406156,33.8968628,34.19674618,36.86967568,35.69751872,34.46197003,35.77842388,34.55784589,30.30866982,31.41358148,28.32854996,28.05249646,25.67469263,25.8190485,25.22382594,25.05254588,23.910185,23.01259551,23.20012665,24.12130185,
Andorra,AND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,34.19356787,35.43642256,39.53759166,30.98378529,28.53981104,28.80324299,31.98313485,30.13830903,29.16738903,25.58912008,24.6395543,21.49654804,22.87168614,17.96427317,30.43447004,22.00291654,22.39073064,22.91409116,21.14571648,21.12316153,19.53406966,17.57941021,20.68719621,20.40487575,18.44457294,19.59078459,19.09892917,19.92361209,19.87017229,19.93244651,21.02417343,23.74212647,24.71862771,25.96216849,24.12757764,24.01918834,23.42668133,24.31978301,25.62874676,28.58532382,28.69895321,28.3092177,26.56191348,26.99047312,25.21324387,22.05757881,
United Arab Emirates,ARE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50259715,22.54568155,22.12976184,19.97851906,20.16684881,19.27039968,25.19918282,25.09809154,31.63354876,27.12110362,23.16147377,21.31468354,18.77145053,21.58126791,24.79853453,25.15932615,24.97749268,23.24534237,22.42276242,22.78644749,,
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.47923426,27.76644706,21.73093502,18.27287883,21.47391262,22.42767575,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.80015957,25.85676946,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.68811042,19.96562325,18.50041051,19.62387245,20.82605155,20.97076915,17.86292788,17.53348744,15.62596533,10.85390524,14.1469621,17.55127036,18.88826414,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.61388502,14.2100304,14.13059546,17.47422751,
